SalesPrice,Cost
9120,4600
75000,45467.84
6365,5926.5
1957.55,1368
1957.55,1368
3377.4,2700
6555,4537.5
6555,4518.5
1715,972
1715,972
3008.2,1605.06
2447.55,1156
4108,2550
634.55,378
4420,1455
2401,1387
1957.55,955.42
2860,1553.79
977.55,662.62
634.55,425
5985,3178.35
4420,1422.73
1222.55,636.88
1369.55,560
3250,1440
6000,3274.2
4394,1936.33
5415,2174.07
4677.4,1854.95
12499.53,5283.78
1940.4,923
977.55,565
3055,1580.33
1957.55,1642
5415,4571.23
585.55,264.71
1124.55,935.69
912,310
1810.55,1398
431.2,330.64
830.55,330.64
634.55,480
6241.5,2639.1
1369.55,531.26
3377.4,1712.33
830.55,395
1957.55,1200
977.55,678
7980,7018.31
1957.55,1116
6150.3,5016
6555,5000
5480.55,2280.1
6555,1137.99
167.5,50
1957.55,1160
2070.25,1172.24
2070.25,1172.24
764.4,432
1135.65,550
1895.32,1071
1433.25,811.55
1433.25,811.55
1433.25,810
977.55,650
5415,7875
3117.4,1400
6365,750
1369.55,1080
931,875
977.55,525
4157.4,2700
977.55,419.9
11400,6500
837.5,168
977.55,671.72
934.65,748
830.55,652.99
5697.15,2239.98
1957.55,827.04
2202.55,1201.53
1960,1310.49
1225,1000
3900,2093.26
830.55,438.75
1957.55,1285.48
1957.55,1500.76
977.55,604.42
487.55,228.15
2447.55,1500
1463.63,1087.47
5415,2433.83
1957.55,1150
1895.32,1071
8550,3789.3
912,340
966.15,340
912,330
912,330
912,340
912,340
134000,83179.56
619.85,351
3099.2,1182.27
1712.55,611.18
634.55,230.45
5697.15,2129.08
977.55,466.46
7350,3102.6
3499.6,1624.19
1957.55,749.93
1467.55,786.03
1467.55,671.61
1168.65,531.04
2600,1688.66
977.55,741
3016,1605
1146.6,648
1146.6,648
1146.6,648
1463.63,800
6555,5505.9
977.55,450
7370,5054.72
732.55,507.12
603,441.21
1712.55,951.69
1114.75,631.21
977.55,489.42
1957.55,918.89
1369.55,864.33
2447.55,956.31
6555,4027.34
29640,9167.99
977.55,647.25
2600,1505
1859.55,947.63
830.55,488.92
3011.65,1993.75
977.55,444.96
2860,1118.74
1957.55,1050
5415,2650
1761.55,845.92
830.55,575
3000,2445
1176,1000
830.55,875
11400,8445
830.55,587.26
6270,1439.3
4016.65,2000
487.55,209.72
13500,7400
1001.65,350
8000,6000
8000,4487.83
4640,2123.97
1500,1030
30000,13700
8870,4147.29
9500,5200
6000,3174.31
17500,8520
3600,3033.23
5500,2325
2400,1345.08
10800,5557.07
7100,3316.26
4500,2450
1600,600
25000,13224
